MAS, Industrials, Feature Numbers: 0.55022305 0.07094789 0.1728801 0.28384894 -0.1622485 -0.30313936 0.2612857 0.387187 0.19717255 -0.08207459 -0.04299733 -0.43803087 -0.32605135 0.79434836 0.025760058 
MAR, Consumer Discretionary, Feature Numbers: 0.3678337 -0.29560202 -0.14830576 0.31847784 0.24062173 -0.51323175 0.19562978 -0.12854053 0.38612705 -0.390909 -0.09179475 -0.15308347 -0.70210546 0.20033886 0.15641919 
MAT, Consumer Discretionary, Feature Numbers: 0.683063 0.43755808 0.827045 0.15570495 -0.43728596 0.22946025 0.30227172 -0.18605109 -0.48685756 0.018964978 -0.48568067 -0.47397485 0.08124982 1.184643 0.037120365 
SNA, Consumer Discretionary, Feature Numbers: 0.3476327 -0.50901383 -0.15196116 0.010102214 0.3683089 -1.0228482 -0.17168418 -0.97482336 0.30710796 -0.34771907 -0.42568696 0.37730068 -0.4451465 -0.32877535 0.41052645 
FOXA, Consumer Discretionary, Feature Numbers: 0.43690863 0.060603205 -0.0525645 0.096873425 -0.06536425 -0.11222984 0.27524102 -0.13050124 0.10868992 -0.31487757 -0.15444869 -0.4482548 -0.20896249 0.7821004 -0.21471247 
SNI, Consumer Discretionary, Feature Numbers: 0.5140261 0.023857618 0.15686731 0.14528623 -0.2047865 -0.17563118 0.065955676 -0.25069007 0.22966611 -0.1820745 -0.5345075 -0.23520125 0.11712957 0.64824295 0.13166115 
MAA, Real Estate, Feature Numbers: 1.5574552 0.19981822 0.9160354 -1.6818315 -0.7128242 -0.8015279 -0.33267668 -0.52846754 -1.3604609 -0.7155081 0.8869954 -0.117572255 -0.6240164 -0.6679754 0.53767884 
MAC, Real Estate, Feature Numbers: 1.5566119 0.06182393 0.9211981 -1.2916722 -0.80851245 -0.52335083 -0.015050917 -0.395583 -1.246038 -0.2164407 0.45117638 -0.17500171 -0.7638883 -0.36607268 0.5089937 
JNJ, Health Care, Feature Numbers: 0.5094076 -0.6483702 -0.72095376 -0.54781455 0.4085095 -1.0072223 -0.35646823 -1.384638 0.058275554 -1.1230052 -0.11480365 0.3591068 -0.528181 -1.0633401 0.6789463 
XYL, Industrials, Feature Numbers: 0.4131225 -0.31711516 -0.102509566 0.07255345 0.36445484 -0.678051 0.012642093 -0.23027956 0.42253396 -0.20771438 -0.39193445 -0.07875316 -0.5566623 0.060300294 0.13238786 
